Original Title,Spotify Title,Spotify Artist
"Allegri - Miserere mei, Deus","Allegri: Miserere - 01. Miserere Mei, Deus"
Ave Maria - Schubert,"Ave Maria, D.839 - Arr. Hazell"
Bolero - Maurice Ravel,"Boléro, M. 81"
Ain't No Mountain High Enough,Ain’t No Mountain High Enough
Ain't No Sunshine,Ain’t No Sunshine - Lido Remix
Blackbird,Blackbird - Remastered 2009
Bohemian Rhapsody,Bohemian Rhapsody - Remastered 2011
California Dreamin',California Dreamin' - Single Version
Don't Let Me Be Misunderstood,Don’t Let Me Be Misunderstood
Eagles - Hotel California,Hotel California (Eagles - Instrumental)
Eleanor Rigby,Eleanor Rigby
Frank Sinatra - LOVE,The One I Love (Belongs to Somebody Else) (with Frank Sinatra & The Pied Pipers) - Remastered
Hallelujah,Hallelujah
Hit The Road Jack,Hit the Road Jack
Just the Two of Us,Just the Two of Us (feat. Bill Withers)
Let It Be,Let It Be - Remastered 2009
Penny Lane,Penny Lane - Remastered 2009
Piano Man,Piano Man
Put Your Head On My Shoulder,Put Your Head On My Shoulder
Roland The Headless Thompson Gunner,Roland the Headless Thompson Gunner - 2007 Remaster
Stop Children What's That Sound,Stop Children What's That Sound - Acoustic
Sweet Caroline,Sweet Caroline
The Chain - Fleetwood Mac,The Chain - 2004 Remaster
Werewolves Of London,Werewolves of London - 2007 Remaster
What You Won't Do for Love,What You Won't Do for Love
While My Guitar Gently Weeps,While My Guitar Gently Weeps - Remastered 2009
Yellow Submarine,Yellow Submarine - Remastered 2009
You Are The Sunshine Of My Life - Stevie Wonder,You Are The Sunshine Of My Life
Maneater,Maneater
Maniac,Maniac
Rocket Man,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
Under Pressure,Under Pressure - Remastered 2011
Africa - Toto,love nwantiti (feat. ElGrande Toto) - North African Remix
Billie Jean,Billie Jean
Boston - More Than A Feeling,More Than a Feeling - Boston
Down Under,"Sugar, We're Goin Down"
Everybody Wants To Rule The World,Everybody Wants To Rule The World
Get Lucky,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
Haddaway - What Is Love,Haddaway - What Is Love
Hold the line -Toto,Hold The Line (feat. A R I Z O N A)
Holding Out for a Hero,"Holding Out for a Hero - From ""Footloose"" Soundtrack"
I Want You Back,I Want You Back
Journey - Don't Stop Believin',Don't Stop Believing (Made Famous by Journey)
Katrina & The Waves - Walking On Sunshine,Walking On Sunshine - Katrina & The Waves - Karaoke
September,September
Simple Minds - Don't You (Forget About Me),Don’t You (Forget About Me) (In The Style Of Simple Minds)
Stayin' Alive - Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack"
Sweet Dreams,Sweet Dreams (Are Made of This) - Remastered
Tainted Love,Tainted Love
The Beatles - Please Mr,"Tribute To The Beatles - Vol. 2 :: John, Paul, George & Ringo + Please Mr. Postman + A Hard Day's Night + Eight Days A Week + John, Paul, George & Ringo"
The Final Countdown,The Final Countdown
The Rubberband Man,The Rubberband Man
Van Halen - Jump,Jump - Armin van Buuren Remix
Killer - Jojo's Bizarre Adventure,Killer
Naruto - Strong and Strike,"Strike and Strong - Geki to Geki (From ""Naruto"")"
Naruto - Heavy Violence,"Heavy Violence - From ""Naruto"""
Naruto - The Raising Fighting Spirit,"The Raising Fighting Spirit (From ""Naruto"") - Instrumental"
Neon Genesis Evangelion Theme,A Cruel Angel's Thesis (Neon Genesis Evangelion Theme Rework)
All Of The Stars,All of the Stars
Beside You,beside you
Chasing Cars,Chasing Cars
Daylight,Daylight
Fall For You - Secondhand Serenade,Fall for You - (Originally Performed by Secondhand Serenade) [Karaoke Version]
Fallin' For You,"Still Falling For You - From ""Bridget Jones's Baby"""
First Day Of My Life,First Day of My Life
House Of Memories,House of Memories
I Will Follow You Into The Dark,I Will Follow You into the Dark
I Won't Give Up,I Won't Give Up
I'm Yours,I’m Yours
Just The Way You Are,Just the Way You Are
Kiss Me Kiss Me - 5 Seconds Of Summer,Kiss Me Kiss Me (Originally Performed by 5 Seconds Of Summer) [Karaoke Version]
Little Things,Little Things
Panic! At the Disco - This is Gospel,This Is Gospel - Panic! At The Disco Cover
Perfect,Perfect
Photograph,Photograph
SUBURBIA,Jesus of Suburbia
Sara Bareilles - I Choose You,I Choose You (Originally performed by Sara Bareilles) - Instrumental Version
Shawn Mendes - Never Be Alone,Never Be Alone - Ringtone Tribute to Shawn Mendes
Stand By Me - Ben E,Stand By Me
Train - Drops of Jupiter,Drops of Jupiter (In the Style of Train) - Instrumental Only
for him,for him.
Feel Good Inc,Feel Good Inc.
